Date,Open,High,Low,Close,Volume
2024-04-26,188.41,191.96,188.12,190.14,5499151
2024-04-29,190.55,191.05,186.47,187.84,9546020
2024-04-30,188.66,190.41,188.60,188.84,12192443
2024-05-01,189.21,192.22,187.08,191.14,9772394
2024-05-02,191.28,193.60,190.41,192.99,12493599
2024-05-03,191.49,193.43,186.87,188.17,13357688
2024-05-06,187.58,189.35,184.86,184.91,10059570
2024-05-07,184.36,188.05,184.25,187.33,7173501
2024-05-08,186.60,187.90,184.01,184.18,7436135
2024-05-09,184.40,186.17,183.60,186.06,9985461
2024-05-10,186.37,187.97,185.00,187.47,5416596
2024-05-13,187.85,188.41,185.23,185.55,8833377
2024-05-14,185.14,188.25,183.42,187.63,12149707
2024-05-15,187.67,188.60,186.29,187.54,12993100
2024-05-16,187.38,189.69,186.20,189.68,10591224
2024-05-17,190.07,190.63,189.98,190.42,8026843
2024-05-20,189.90,190.44,188.04,188.96,6025226
2024-05-21,188.86,189.82,187.79,188.54,5060179
2024-05-22,188.30,188.59,187.52,187.59,8439397
2024-05-23,188.08,188.68,187.17,188.62,12019294
2024-05-24,188.24,189.31,188.15,189.15,9978422
2024-05-27,189.15,192.29,187.81,191.31,11056844
2024-05-28,189.91,190.17,189.72,190.11,6262870
2024-05-29,190.72,193.79,190.45,193.16,11514863
2024-05-30,192.81,194.27,191.81,193.02,5899515
2024-05-31,191.66,194.40,191.52,194.23,7794789
2024-06-03,192.91,194.13,189.49,190.40,5529566
2024-06-04,189.65,190.96,187.57,188.54,12962815
2024-06-05,188.37,190.01,187.34,187.50,8133156
2024-06-06,187.74,188.59,185.81,185.84,12955926
2024-06-07,185.60,187.40,185.28,186.12,12755590
2024-06-10,185.55,185.79,182.58,184.97,7392791
2024-06-11,184.33,186.35,184.22,185.37,11817851
2024-06-12,186.44,186.64,185.65,186.00,13263659
2024-06-13,186.62,187.47,186.04,186.77,5075519
2024-06-14,186.49,187.78,184.87,187.38,8067252
2024-06-17,186.79,189.41,186.65,189.39,13901400
2024-06-18,189.85,194.65,189.74,193.03,11429849
2024-06-19,192.50,192.61,190.51,190.92,6927325
2024-06-20,190.46,191.40,189.29,189.82,9896850
2024-06-21,190.25,190.97,185.66,186.93,7400797
2024-06-24,187.22,187.43,186.77,187.26,9944294
2024-06-25,186.90,187.29,185.85,187.07,11756016
2024-06-26,186.97,189.82,186.55,189.73,6663528
2024-06-27,190.09,191.52,189.98,190.34,7433388
2024-06-28,190.23,193.31,189.76,193.15,13137227
2024-07-01,193.21,194.19,188.10,188.57,9028500
2024-07-02,188.74,190.10,188.35,189.09,12692310
2024-07-03,189.22,189.44,188.33,188.55,6232296
2024-07-04,188.37,188.84,186.63,186.65,12138657
2024-07-05,186.04,186.21,181.89,182.99,9124938
2024-07-08,183.38,184.16,179.30,179.35,10761862
2024-07-09,178.78,179.36,175.93,176.12,6825841
2024-07-10,175.86,176.02,174.95,175.25,4825686
2024-07-11,175.47,175.63,172.22,172.83,11586775
2024-07-12,172.28,173.03,169.87,171.67,12363149
2024-07-15,171.14,171.96,168.69,169.05,10027798
2024-07-16,168.17,168.32,165.29,165.57,6392858
2024-07-17,166.34,166.97,164.93,165.22,5993795
2024-07-18,164.51,165.41,163.06,163.40,9540434
2024-07-19,163.47,164.67,163.17,164.01,7203531
2024-07-22,164.69,169.55,163.77,168.99,13927548
2024-07-23,168.98,172.09,168.74,172.06,12060180
2024-07-24,172.20,172.67,169.03,169.30,10419164
2024-07-25,168.86,169.52,166.93,167.35,7999760
2024-07-26,166.48,167.10,163.52,164.63,7566890
2024-07-29,164.33,168.66,164.05,167.78,7819364
2024-07-30,168.97,169.81,166.07,166.64,14285944
2024-07-31,166.11,166.57,164.52,164.80,8273081
2024-08-01,164.11,164.30,163.55,164.27,10072508
2024-08-02,164.03,166.12,163.64,165.98,14142209
2024-08-05,165.75,166.32,163.79,164.66,10101613
2024-08-06,165.51,171.53,165.03,170.72,5927675
2024-08-07,170.20,171.65,169.20,171.43,7424879
2024-08-08,170.19,173.19,169.11,173.15,8482425
2024-08-09,172.85,176.36,171.67,175.09,7451975
2024-08-12,174.56,176.11,174.14,175.15,12677274
2024-08-13,175.58,178.35,173.59,175.27,9500547
2024-08-14,175.80,178.04,174.88,177.41,10016928
2024-08-15,177.54,178.06,174.53,175.79,10289257
2024-08-16,176.70,178.54,176.30,177.13,11570187
2024-08-19,176.64,178.33,175.24,177.48,14215854
2024-08-20,177.49,178.67,176.94,176.96,13149123
2024-08-21,176.55,179.18,176.39,178.21,11735460
2024-08-22,178.63,179.20,175.22,176.04,14104354
2024-08-23,176.73,177.75,173.68,175.06,12982476
2024-08-26,174.66,176.59,173.39,176.02,12090257
2024-08-27,175.91,177.50,175.40,176.36,13640919
2024-08-28,176.35,180.28,176.19,179.91,10883979
2024-08-29,179.49,181.84,177.67,181.17,5241513
2024-08-30,180.73,181.66,180.38,181.31,9899196
2024-09-02,180.92,181.09,177.13,177.45,13160060
2024-09-03,177.18,177.60,175.82,176.08,9227039
2024-09-04,176.48,178.09,176.39,176.49,13451610
2024-09-05,176.22,176.97,175.43,175.72,10440688
2024-09-06,175.30,175.30,172.25,173.93,6712483
2024-09-09,174.33,174.42,171.46,172.58,10318194
2024-09-10,172.56,175.61,172.39,174.34,7435011
2024-09-11,174.02,174.03,170.90,171.17,10621502
2024-09-12,171.19,171.54,165.34,166.79,10627823
2024-09-13,167.36,168.28,164.84,165.70,11720912
2024-09-16,164.90,166.14,161.64,162.91,11004869
2024-09-17,163.40,164.57,162.05,162.69,5665280
2024-09-18,163.46,163.66,162.22,162.60,9978314
2024-09-19,162.49,166.23,161.70,164.90,7266912
2024-09-20,164.40,165.95,163.12,165.47,8051666
2024-09-23,166.31,171.61,164.64,170.20,13057349
2024-09-24,168.79,170.29,167.62,167.93,8311440
2024-09-25,167.85,168.89,167.64,167.98,11259152
2024-09-26,167.39,168.27,164.42,166.20,5840122
2024-09-27,166.31,167.20,165.60,166.40,13586456
2024-09-30,166.58,167.58,164.95,166.76,7701025
2024-10-01,166.91,167.58,165.80,166.04,9529196
2024-10-02,166.64,170.72,165.95,170.11,11236667
2024-10-03,168.88,170.09,168.04,168.72,6283419
2024-10-04,168.83,169.70,168.03,168.09,13934606
2024-10-07,168.19,172.09,167.47,170.14,13012321
2024-10-08,170.59,175.47,169.94,173.17,8243268
2024-10-09,173.37,174.58,171.18,172.34,9165286
2024-10-10,171.71,171.86,170.12,170.22,12353228
2024-10-11,170.49,170.88,170.36,170.58,12145510
2024-10-14,170.93,171.88,170.37,171.36,6216520
2024-10-15,171.34,171.81,170.96,171.51,6047924
2024-10-16,171.83,171.98,171.66,171.88,4942659
2024-10-17,171.51,172.18,171.03,171.94,5303030
2024-10-18,171.31,171.33,170.26,171.23,12268963
2024-10-21,171.21,173.27,170.23,170.28,5216304
2024-10-22,169.27,171.10,169.15,170.17,14054651
2024-10-23,170.39,173.67,169.63,172.60,9506580
2024-10-24,172.49,174.26,171.92,173.23,5430549
2024-10-25,173.95,174.69,173.31,173.54,14348426
2024-10-28,173.44,173.75,171.00,171.24,11537082
2024-10-29,170.65,172.65,169.29,172.48,6864221
2024-10-30,172.60,173.10,170.43,171.23,8793500
2024-10-31,171.53,173.80,170.81,173.38,6265333
2024-11-01,173.29,174.21,172.95,174.02,5727018
2024-11-04,173.07,174.15,172.46,172.86,10191229
2024-11-05,173.09,173.87,171.62,172.63,12002728
2024-11-06,172.02,175.46,171.79,174.30,8175803
2024-11-07,174.13,174.48,172.40,172.91,5838896
2024-11-08,172.50,173.76,171.38,173.67,12549325
2024-11-11,172.50,176.22,171.42,175.71,10969911
2024-11-12,175.91,181.10,175.30,180.75,6531994
2024-11-13,180.31,180.36,179.73,179.82,13150681
2024-11-14,179.60,180.40,176.68,177.66,5094308
2024-11-15,177.29,178.01,176.89,177.30,8352509
2024-11-18,176.40,176.73,175.65,175.80,5305044
2024-11-19,176.41,178.40,175.78,178.08,11154611
2024-11-20,178.13,178.34,174.42,175.88,5892648
2024-11-21,176.06,176.51,173.65,174.56,11204472
2024-11-22,174.71,176.86,174.64,176.78,7693625
2024-11-25,177.06,177.41,176.27,177.39,4874207
2024-11-26,177.06,178.09,176.11,177.08,9602518
2024-11-27,176.25,179.81,175.48,178.22,5206101
2024-11-28,178.36,183.98,177.47,183.21,10304636
2024-11-29,182.65,182.79,182.01,182.13,7917774
2024-12-02,181.41,183.44,179.64,182.43,5646046
2024-12-03,182.09,184.00,181.50,183.06,8599360
2024-12-04,183.52,183.80,182.35,182.83,9700639
2024-12-05,183.26,186.01,182.79,185.30,11782839
2024-12-06,184.37,186.18,183.86,186.13,6693809
2024-12-09,185.57,185.89,182.14,182.61,12219341
2024-12-10,182.65,182.71,178.06,179.03,13671880
2024-12-11,178.73,180.00,174.74,175.98,10821287
2024-12-12,176.15,177.36,175.88,176.66,7436867
2024-12-13,176.88,179.67,175.98,179.30,5346144
2024-12-16,179.12,180.75,177.79,179.59,10704080
2024-12-17,179.56,181.06,176.69,177.22,13400416
2024-12-18,177.52,177.97,173.26,173.88,9366038
